month,state,cases,deaths,cases_growth_rate,deaths_growth_rate,mortality_rate,mortality_rate_change
2020-04,Arkansas,53571,1007.0,12.510970996216898,26.97222222222222,1.8797483713203038,1.0703339700791679
2020-04,California,865585,30176.0,14.622586001516082,26.112309074573226,3.4861971961159215,0.7354559015992699
2020-04,Colorado,264026,11715.0,13.192657098317476,33.05523255813954,4.4370630165211,1.3994966074518032
2020-04,Connecticut,467204,29752.0,30.987128577297,104.13074204946996,6.368096163560244,2.2866576878078066
2020-04,Delaware,67480,1840.0,34.76046634870164,58.354838709677416,2.7267338470657974,0.659789280455858
2020-04,District of Columbia,70950,2651.0,23.27300718439959,63.65853658536585,3.736434108527132,1.6638041217621482
2020-04,Florida,671158,19495.0,17.854341658004888,38.86707566462168,2.9046811630048364,1.114477205715402
2020-04,Georgia,453331,18051.0,19.495094714950948,24.824034334763947,3.9818587301552286,0.2600104900186482
2020-04,Guam,20795,156.0,34.00841750841751,13.181818181818182,0.7501803318105313,-0.594902620822313
2020-04,Hawaii,14988,274.0,9.168249660786975,273.0,1.8281291700026687,25.94662396583934
2020-04,Idaho,45937,1098.0,18.473081814328104,31.294117647058826,2.3902300977425606,0.6583978825219707
2020-04,Illinois,802337,32642.0,23.19082220279193,71.53777777777778,4.068365287902714,1.9985660334193183
2020-04,Indiana,292473,16218.0,27.80939716312057,50.814696485623,5.545127242514694,0.7985345612143504
2020-04,Iowa,83724,1947.0,28.965640658554044,73.88461538461539,2.3254980650709474,1.499015997618549
2020-04,Kansas,55555,2241.0,22.071013289036546,36.35,4.033840338403384,0.6189145891458914
2020-04,Kentucky,74780,3889.0,21.007062978222486,45.29761904761905,5.200588392618347,1.1037618283472792
2020-04,Louisiana,625639,32872.0,20.638674644623524,27.911169744942832,5.254148158922318,0.3360878251444235
2020-04,Maine,22358,843.0,9.596208530805686,63.84615384615384,3.770462474282136,5.119750631334851
2020-04,Maryland,327492,13760.0,36.08436190691881,162.8095238095238,4.201629352778083,3.4172129540932437
2020-04,Massachusetts,977699,42952.0,27.40661862978674,125.32941176470588,4.393172131709248,3.4471823067402614
2020-04,Michigan,818293,59519.0,19.861516889738688,60.55015511892451,7.273556048994675,1.9504160912287083
2020-04,Minnesota,65270,3818.0,13.569196428571429,80.23404255319149,5.849548031254788,4.575739400004564
2020-04,Mississippi,109721,3972.0,17.9468140217579,44.13636363636363,3.6200909579752283,1.3822666747311985
2020-04,Missouri,144460,5056.0,21.10220318237454,51.666666666666664,3.499930776685588,1.382869537126771
2020-04,Montana,11538,280.0,8.615,22.333333333333332,2.4267637372161555,1.4267637372161555
2020-04,Nebraska,44916,866.0,25.703923900118905,65.61538461538461,1.9280434589010595,1.494591613747371
2020-04,Nevada,97660,4029.0,13.238227146814404,31.75609756097561,4.125537579356953,1.3005741672202715
2020-04,New Hampshire,36795,1009.0,15.48521505376344,58.35294117647059,2.742220410381845,2.6003740917483986
2020-04,New Jersey,2186635,102708.0,22.630611450926146,87.16137339055794,4.697080216862896,2.730812195598208
2020-04,New Mexico,49429,1472.0,23.851181498240322,91.0,2.978008861194845,2.702037265572842
